FeH,EuFe,sigma_FeH,sigma_EuFe
-0.61,0.34,0.00,0.00
-0.23,0.26,0.00,0.00
-0.70,0.53,0.00,0.00
-1.18,0.45,0.00,0.00
-0.54,0.62,0.00,0.00
-0.17,0.22,0.00,0.00
-0.59,0.51,0.00,0.00
-1.04,0.55,0.00,0.00
0.04,0.13,0.00,0.00
-0.78,0.38,0.00,0.00
-1.12,0.41,0.00,0.00
-0.32,0.23,0.00,0.00
-0.98,0.54,0.00,0.00
-0.50,0.50,0.00,0.00
-0.75,0.42,0.00,0.00
-0.68,0.57,0.00,0.00
-0.56,0.37,0.00,0.00
-0.82,0.39,0.00,0.00
0.15,0.20,0.00,0.00
-0.40,0.35,0.00,0.00
-0.49,0.29,0.00,0.00
-1.08,0.71,0.00,0.00
-0.71,0.49,0.00,0.00
-0.51,0.44,0.00,0.00
-0.80,0.53,0.00,0.00
-1.06,0.56,0.00,0.00
-0.68,0.61,0.00,0.00
-0.29,0.39,0.00,0.00
-0.50,0.51,0.00,0.00
-0.46,0.61,0.00,0.00
0.10,0.28,0.00,0.00
-0.37,0.54,0.00,0.00
-0.54,0.52,0.00,0.00
-0.33,0.30,0.00,0.00
-0.34,0.28,0.00,0.00
0.05,0.06,0.00,0.00
-0.28,0.37,0.00,0.00
-0.40,0.49,0.00,0.00
-0.39,0.27,0.00,0.00
-0.70,0.74,0.00,0.00
-0.86,0.54,0.00,0.00
-0.73,0.43,0.00,0.00
-0.55,0.56,0.00,0.00
-0.92,0.43,0.00,0.00
-0.64,0.31,0.00,0.00
-0.10,0.22,0.00,0.00
-0.67,0.54,0.00,0.00
-0.20,0.25,0.00,0.00
-0.35,0.22,0.00,0.00
-0.82,0.53,0.00,0.00
-0.56,0.50,0.00,0.00
-0.84,0.40,0.00,0.00
-0.79,0.52,0.00,0.00
-0.91,0.48,0.00,0.00
-0.46,0.26,0.00,0.00
-0.52,0.57,0.00,0.00
-0.17,0.09,0.00,0.00
-0.52,0.52,0.00,0.00
-0.67,0.38,0.00,0.00
-0.75,0.48,0.00,0.00
-0.64,0.57,0.00,0.00
-0.64,0.47,0.00,0.00
-0.91,0.49,0.00,0.00
-0.56,0.53,0.00,0.00
-0.72,0.60,0.00,0.00
-0.51,0.71,0.00,0.00
-0.52,0.40,0.00,0.00
-0.46,0.55,0.00,0.00
-0.53,0.31,0.00,0.00
-1.30,0.43,0.00,0.00
-0.07,0.11,0.00,0.00
0.06,-0.02,0.00,0.00
-0.44,0.31,0.00,0.00
-0.22,0.04,0.00,0.00
0.00,0.23,0.00,0.00
0.13,-0.09,0.00,0.00
-0.16,0.14,0.00,0.00
-0.01,0.14,0.00,0.00
0.02,0.11,0.00,0.00
-0.05,-0.07,0.00,0.00
0.16,-0.05,0.00,0.00
0.06,-0.06,0.00,0.00
0.04,0.04,0.00,0.00
-0.12,0.05,0.00,0.00
-0.18,0.03,0.00,0.00
-0.20,0.18,0.00,0.00
-0.05,0.08,0.00,0.00
-0.45,0.28,0.00,0.00
0.10,0.01,0.00,0.00
0.08,-0.02,0.00,0.00
0.11,0.04,0.00,0.00
0.02,0.02,0.00,0.00
-0.48,0.16,0.00,0.00
0.08,0.03,0.00,0.00
0.21,-0.08,0.00,0.00
-0.03,0.06,0.00,0.00
-0.46,0.29,0.00,0.00
-0.05,-0.07,0.00,0.00
0.24,-0.08,0.00,0.00
0.07,0.06,0.00,0.00
0.02,0.09,0.00,0.00
0.31,-0.08,0.00,0.00
-0.32,0.05,0.00,0.00
-0.08,0.07,0.00,0.00
0.03,0.03,0.00,0.00
-0.24,0.15,0.00,0.00
-0.25,0.19,0.00,0.00
-0.05,0.06,0.00,0.00
-0.24,0.17,0.00,0.00
-0.31,0.14,0.00,0.00
-0.02,0.15,0.00,0.00
-0.16,0.19,0.00,0.00
-0.12,0.10,0.00,0.00
-0.75,0.38,0.00,0.00
0.19,0.09,0.00,0.00
0.21,0.12,0.00,0.00
-0.49,0.00,0.00,0.00
0.01,-0.10,0.00,0.00
0.00,0.11,0.00,0.00
0.02,0.11,0.00,0.00
-0.02,0.10,0.00,0.00
-0.06,0.07,0.00,0.00
-0.37,0.18,0.00,0.00
-0.09,0.12,0.00,0.00
-0.70,0.23,0.00,0.00
0.32,-0.04,0.00,0.00
0.01,0.07,0.00,0.00
-0.04,0.02,0.00,0.00
0.25,-0.09,0.00,0.00
-0.22,0.25,0.00,0.00
-0.08,0.11,0.00,0.00
-0.04,0.15,0.00,0.00
-0.21,0.14,0.00,0.00
-0.10,-0.02,0.00,0.00
-0.07,0.04,0.00,0.00
-0.18,0.19,0.00,0.00
-0.56,0.36,0.00,0.00
-0.49,0.07,0.00,0.00
0.06,-0.08,0.00,0.00
0.06,0.02,0.00,0.00
-0.10,0.03,0.00,0.00
-0.27,0.25,0.00,0.00
-0.16,0.27,0.00,0.00
0.04,0.09,0.00,0.00
-0.05,0.08,0.00,0.00
-0.36,0.26,0.00,0.00
-0.60,0.13,0.00,0.00
0.16,-0.10,0.00,0.00
-0.22,0.15,0.00,0.00
-0.01,0.04,0.00,0.00
0.07,0.09,0.00,0.00
0.18,-0.15,0.00,0.00
0.04,0.12,0.00,0.00
-0.03,0.04,0.00,0.00
-0.17,0.13,0.00,0.00
0.17,0.14,0.00,0.00
-0.14,-0.03,0.00,0.00
0.23,-0.10,0.00,0.00
0.14,0.02,0.00,0.00
-0.04,0.07,0.00,0.00
0.18,-0.02,0.00,0.00
0.07,-0.04,0.00,0.00
-0.01,0.09,0.00,0.00
0.13,0.05,0.00,0.00
0.12,-0.03,0.00,0.00
-0.07,0.10,0.00,0.00
-0.33,0.16,0.00,0.00
-0.04,0.03,0.00,0.00
0.05,0.08,0.00,0.00
0.06,-0.05,0.00,0.00
0.09,-0.06,0.00,0.00
0.02,0.01,0.00,0.00
-0.25,0.21,0.00,0.00
0.14,-0.03,0.00,0.00
-0.12,0.05,0.00,0.00
-0.03,0.04,0.00,0.00
0.16,-0.05,0.00,0.00
0.12,0.01,0.00,0.00
0.05,-0.04,0.00,0.00
0.11,0.00,0.00,0.00
0.13,-0.07,0.00,0.00
-0.10,-0.07,0.00,0.00
-0.12,0.13,0.00,0.00
0.08,-0.05,0.00,0.00
0.06,0.02,0.00,0.00
-0.19,0.02,0.00,0.00
-0.17,0.20,0.00,0.00
0.06,-0.10,0.00,0.00
-0.85,0.33,0.00,0.00
-0.21,0.14,0.00,0.00
-0.03,0.09,0.00,0.00
0.05,-0.02,0.00,0.00
-0.66,0.29,0.00,0.00
0.01,-0.03,0.00,0.00
-0.08,0.09,0.00,0.00
-0.05,-0.04,0.00,0.00
0.15,-0.02,0.00,0.00
-0.53,0.36,0.00,0.00
-0.46,0.27,0.00,0.00
0.07,0.01,0.00,0.00
-0.55,0.21,0.00,0.00
-0.17,0.08,0.00,0.00
0.14,-0.06,0.00,0.00
0.03,-0.02,0.00,0.00
-0.43,0.26,0.00,0.00
0.25,-0.04,0.00,0.00
0.05,-0.12,0.00,0.00
-0.09,0.05,0.00,0.00
0.04,0.12,0.00,0.00
-0.03,0.09,0.00,0.00
0.16,-0.10,0.00,0.00
-0.15,0.23,0.00,0.00
-0.06,0.07,0.00,0.00
-0.09,0.10,0.00,0.00
0.09,-0.03,0.00,0.00
0.08,0.03,0.00,0.00
-0.17,0.20,0.00,0.00
-0.36,0.24,0.00,0.00
0.04,0.09,0.00,0.00
-0.08,0.06,0.00,0.00
-0.46,0.17,0.00,0.00
-0.13,0.09,0.00,0.00
-0.84,0.34,0.00,0.00
0.01,0.05,0.00,0.00
0.05,0.01,0.00,0.00
-0.16,0.22,0.00,0.00
0.23,-0.14,0.00,0.00
-0.09,0.12,0.00,0.00
0.00,0.03,0.00,0.00
0.14,-0.11,0.00,0.00
-0.05,0.06,0.00,0.00
0.18,0.01,0.00,0.00
0.13,0.05,0.00,0.00
-0.24,0.17,0.00,0.00
0.15,-0.09,0.00,0.00
-0.41,0.27,0.00,0.00
0.09,-0.03,0.00,0.00
0.01,0.02,0.00,0.00
-0.23,0.14,0.00,0.00
-0.03,-0.04,0.00,0.00
-0.22,-0.05,0.00,0.00
-0.18,0.21,0.00,0.00
-0.04,-0.08,0.00,0.00
-0.07,0.08,0.00,0.00
-0.03,0.04,0.00,0.00
-0.18,0.11,0.00,0.00
-0.11,0.14,0.00,0.00
-0.19,0.17,0.00,0.00
-0.24,0.19,0.00,0.00
-0.02,-0.05,0.00,0.00
-0.21,0.12,0.00,0.00
-0.24,0.07,0.00,0.00
-0.05,0.09,0.00,0.00
0.05,-0.09,0.00,0.00
-0.10,0.21,0.00,0.00
-0.37,0.25,0.00,0.00
0.00,0.01,0.00,0.00
-0.17,0.00,0.00,0.00
-0.21,0.07,0.00,0.00
-0.22,0.18,0.00,0.00
0.06,0.02,0.00,0.00
-0.31,0.19,0.00,0.00
-0.31,0.19,0.00,0.00
-0.04,0.01,0.00,0.00
-0.12,0.12,0.00,0.00
-0.10,-0.07,0.00,0.00
-0.06,0.02,0.00,0.00
-0.91,0.39,0.00,0.00
-0.33,0.31,0.00,0.00
-0.67,0.40,0.00,0.00
0.05,-0.12,0.00,0.00
-0.53,0.31,0.00,0.00
0.08,-0.04,0.00,0.00
-0.24,0.07,0.00,0.00
0.06,-0.13,0.00,0.00
0.00,-0.07,0.00,0.00
0.01,0.04,0.00,0.00
-0.07,0.00,0.00,0.00
0.08,-0.05,0.00,0.00
-0.58,0.29,0.00,0.00
0.25,-0.12,0.00,0.00
-0.10,0.06,0.00,0.00
0.05,-0.07,0.00,0.00
-0.22,0.03,0.00,0.00
-0.05,0.06,0.00,0.00
-0.28,0.16,0.00,0.00
-0.11,-0.06,0.00,0.00
-0.03,0.11,0.00,0.00
0.25,-0.09,0.00,0.00
0.12,-0.14,0.00,0.00
0.22,-0.11,0.00,0.00
0.00,0.01,0.00,0.00
0.00,0.14,0.00,0.00
-0.12,0.15,0.00,0.00
-0.23,0.19,0.00,0.00
0.05,-0.04,0.00,0.00
0.06,-0.02,0.00,0.00
-0.32,0.18,0.00,0.00
0.22,-0.11,0.00,0.00
-2.10,0.28,0.00,0.00
-0.31,0.17,0.00,0.00
-0.15,-0.03,0.00,0.00
-0.46,0.08,0.00,0.00
-0.18,-0.04,0.00,0.00
-0.36,0.03,0.00,0.00
-2.11,0.39,0.00,0.00
-0.25,0.06,0.00,0.00
-0.46,0.08,0.00,0.00
-0.39,0.05,0.00,0.00
-0.38,-0.07,0.00,0.00
-0.42,0.14,0.00,0.00
-0.44,0.22,0.00,0.00
-0.39,0.13,0.00,0.00
-0.35,0.23,0.00,0.00
-0.32,0.13,0.00,0.00
-0.23,-0.07,0.00,0.00
-0.62,0.16,0.00,0.00
-0.42,0.05,0.00,0.00
-0.49,0.06,0.00,0.00
-0.37,0.18,0.00,0.00
-0.42,-0.04,0.00,0.00
-0.17,-0.02,0.00,0.00
-0.11,0.00,0.00,0.00
-0.01,-0.04,0.00,0.00
-0.14,0.04,0.00,0.00
-0.12,0.01,0.00,0.00
-0.59,0.10,0.00,0.00
-0.58,0.13,0.00,0.00
-0.30,0.23,0.00,0.00
-1.03,0.25,0.00,0.00
-0.63,0.28,0.00,0.00
-0.23,0.03,0.00,0.00
-0.54,0.23,0.00,0.00
-0.24,0.23,0.00,0.00
-0.52,-0.10,0.00,0.00
-0.48,0.17,0.00,0.00
-0.12,0.11,0.00,0.00
-0.27,0.15,0.00,0.00
-0.27,0.08,0.00,0.00
-0.21,0.01,0.00,0.00
-0.39,0.09,0.00,0.00
-0.14,0.08,0.00,0.00
-0.31,-0.07,0.00,0.00
-0.05,0.24,0.00,0.00
-0.65,0.17,0.00,0.00
-0.22,0.02,0.00,0.00
-0.33,0.01,0.00,0.00
-0.16,-0.03,0.00,0.00
-0.18,0.00,0.00,0.00
-0.21,0.10,0.00,0.00
-0.62,0.22,0.00,0.00
-0.31,-0.05,0.00,0.00
-0.54,0.09,0.00,0.00
-0.20,-0.03,0.00,0.00
-0.31,0.16,0.00,0.00
-0.29,0.24,0.00,0.00
-0.28,0.07,0.00,0.00
-0.04,0.10,0.00,0.00
-0.48,-0.06,0.00,0.00
-0.24,0.20,0.00,0.00
-0.25,0.16,0.00,0.00
-0.53,0.13,0.00,0.00
-0.19,-0.02,0.00,0.00
-0.36,0.13,0.00,0.00
-0.38,0.08,0.00,0.00
-0.39,0.07,0.00,0.00
-0.54,0.06,0.00,0.00
-0.19,-0.07,0.00,0.00
-0.36,-0.03,0.00,0.00
-0.58,0.20,0.00,0.00
-0.35,0.03,0.00,0.00
-0.01,0.02,0.00,0.00
-0.45,0.13,0.00,0.00
-1.99,0.64,0.00,0.00
-0.18,0.15,0.00,0.00
-0.64,0.30,0.00,0.00
-0.20,0.07,0.00,0.00
-0.21,0.06,0.00,0.00
-0.18,0.14,0.00,0.00
-0.15,0.06,0.00,0.00
-0.32,0.08,0.00,0.00
-0.38,0.04,0.00,0.00
-0.54,0.34,0.00,0.00
-0.35,0.07,0.00,0.00
-0.21,0.15,0.00,0.00
-0.64,0.33,0.00,0.00
-0.28,0.04,0.00,0.00
-0.16,0.02,0.00,0.00
-0.28,0.11,0.00,0.00
-0.43,0.20,0.00,0.00
-0.35,0.23,0.00,0.00
-0.06,0.14,0.00,0.00
-0.26,0.00,0.00,0.00
-0.25,0.12,0.00,0.00
-0.28,0.12,0.00,0.00
-0.14,0.08,0.00,0.00
-0.15,0.11,0.00,0.00
-0.56,0.24,0.00,0.00
-1.84,0.45,0.00,0.00
-1.58,0.34,0.00,0.00
-1.65,0.29,0.00,0.00
-0.42,0.41,0.00,0.00
-1.86,0.49,0.00,0.00
-0.94,0.13,0.00,0.00
-1.26,0.37,0.00,0.00
-0.29,-0.21,0.00,0.00
-2.48,0.24,0.00,0.00
-1.15,0.37,0.00,0.00
-0.63,0.39,0.00,0.00
-1.56,0.31,0.00,0.00
-0.59,0.33,0.00,0.00
-1.39,0.76,0.00,0.00
-2.41,0.51,0.00,0.00
-1.65,0.46,0.00,0.00
-2.36,0.23,0.00,0.00
-0.68,0.45,0.00,0.00
-0.50,0.01,0.00,0.00
-2.36,0.32,0.00,0.00
-2.48,-0.69,0.00,0.00
-2.07,0.19,0.00,0.00
-0.31,0.05,0.00,0.00
-0.53,0.14,0.00,0.00
-1.74,0.16,0.00,0.00
-1.73,0.37,0.00,0.00
-1.90,0.57,0.00,0.00
-1.92,0.38,0.00,0.00
-1.17,0.05,0.00,0.00
-2.28,0.09,0.00,0.00
-2.10,0.74,0.00,0.00
-2.31,0.43,0.00,0.00
-1.30,0.09,0.00,0.00
-0.91,-0.16,0.00,0.00
-2.06,0.36,0.00,0.00
-1.54,0.39,0.00,0.00
-0.23,0.04,0.00,0.00
-0.37,0.14,0.00,0.00
-0.11,0.02,0.00,0.00
0.09,-0.03,0.00,0.00
0.04,0.04,0.00,0.00
0.05,-0.17,0.00,0.00
0.26,-0.08,0.00,0.00
0.13,-0.06,0.00,0.00
-0.20,0.15,0.00,0.00
-0.26,0.17,0.00,0.00
-0.10,0.01,0.00,0.00
0.12,-0.12,0.00,0.00
-0.11,0.14,0.00,0.00
0.24,-0.02,0.00,0.00
-0.28,0.08,0.00,0.00
-0.11,0.04,0.00,0.00
0.13,0.01,0.00,0.00
0.01,0.06,0.00,0.00
-0.34,0.12,0.00,0.00
0.23,-0.12,0.00,0.00
-0.56,0.15,0.00,0.00
0.09,0.03,0.00,0.00
-0.27,0.12,0.00,0.00
-0.34,0.12,0.00,0.00
0.13,0.04,0.00,0.00
0.21,-0.12,0.00,0.00
0.09,-0.02,0.00,0.00
-0.44,0.17,0.00,0.00
-0.07,0.04,0.00,0.00
-0.67,0.11,0.00,0.00
-0.32,0.19,0.00,0.00
-0.25,0.11,0.00,0.00
